Human Gene ID,Mouse Gene ID
ENSG00000168509,ENSMUSG00000038403
ENSG00000049319,ENSMUSG00000038541
ENSG00000105929,ENSMUSG00000038600
ENSG00000104447,ENSMUSG00000038679
ENSG00000174417,ENSMUSG00000038760
ENSG00000136944,ENSMUSG00000038765
ENSG00000138083,ENSMUSG00000038805
ENSG00000172331,ENSMUSG00000038871
ENSG00000136869,ENSMUSG00000039005
ENSG00000124491,ENSMUSG00000039109
ENSG00000124813,ENSMUSG00000039153
ENSG00000140521,ENSMUSG00000039176
ENSG00000140522,ENSMUSG00000039194
ENSG00000116957,ENSMUSG00000039233
ENSG00000130714,ENSMUSG00000039254
ENSG00000138375,ENSMUSG00000039354
ENSG00000123500,ENSMUSG00000039462
ENSG00000109501,ENSMUSG00000039474
ENSG00000171119,ENSMUSG00000039481
ENSG00000172817,ENSMUSG00000039519
ENSG00000049768,ENSMUSG00000039521
ENSG00000081923,ENSMUSG00000039529
ENSG00000131697,ENSMUSG00000039577
ENSG00000147316,ENSMUSG00000039842
ENSG00000014919,ENSMUSG00000040018
ENSG00000121742,ENSMUSG00000040055
ENSG00000006071,ENSMUSG00000040136
ENSG00000124479,ENSMUSG00000040138
ENSG00000052850,ENSMUSG00000040310
ENSG00000183337,ENSMUSG00000040363
ENSG00000138075,ENSMUSG00000040505
ENSG00000129221,ENSMUSG00000040554
ENSG00000046651,ENSMUSG00000040586
ENSG00000100889,ENSMUSG00000040618
ENSG00000111732,ENSMUSG00000040627
ENSG00000129535,ENSMUSG00000040632
ENSG00000163666,ENSMUSG00000040726
ENSG00000139618,ENSMUSG00000041147
ENSG00000170175,ENSMUSG00000041189
ENSG00000143627,ENSMUSG00000041237
ENSG00000151704,ENSMUSG00000041248
ENSG00000001626,ENSMUSG00000041301
ENSG00000141076,ENSMUSG00000041438
ENSG00000105392,ENSMUSG00000041578
ENSG00000123700,ENSMUSG00000041695
ENSG00000106633,ENSMUSG00000041798
ENSG00000074695,ENSMUSG00000041891
ENSG00000110921,ENSMUSG00000041939
ENSG00000113273,ENSMUSG00000042082
ENSG00000132837,ENSMUSG00000042102
ENSG00000006695,ENSMUSG00000042148
ENSG00000100058,ENSMUSG00000042240
ENSG00000018510,ENSMUSG00000042410
ENSG00000091536,ENSMUSG00000042678
ENSG00000107290,ENSMUSG00000043535
ENSG00000170370,ENSMUSG00000043969
ENSG00000168282,ENSMUSG00000043998
ENSG00000171401,ENSMUSG00000044041
ENSG00000150907,ENSMUSG00000044167
ENSG00000169174,ENSMUSG00000044254
ENSG00000147889,ENSMUSG00000044303
ENSG00000186790,ENSMUSG00000044518
ENSG00000175325,ENSMUSG00000044542
ENSG00000134595,ENSMUSG00000045179
ENSG00000182040,ENSMUSG00000045288
ENSG00000121966,ENSMUSG00000045382
ENSG00000186847,ENSMUSG00000045545
ENSG00000185231,ENSMUSG00000045569
ENSG00000170266,ENSMUSG00000045594
ENSG00000169247,ENSMUSG00000045629
ENSG00000060237,ENSMUSG00000045962
ENSG00000165474,ENSMUSG00000046352
ENSG00000124788,ENSMUSG00000046876
ENSG00000170113,ENSMUSG00000047037
ENSG00000159261,ENSMUSG00000047109
ENSG00000169562,ENSMUSG00000047797
ENSG00000180616,ENSMUSG00000047904
ENSG00000163359,ENSMUSG00000048126
ENSG00000151835,ENSMUSG00000048279
ENSG00000163132,ENSMUSG00000048450
ENSG00000121743,ENSMUSG00000048582
ENSG00000183691,ENSMUSG00000048616
ENSG00000181027,ENSMUSG00000048920
ENSG00000181585,ENSMUSG00000049555
ENSG00000174405,ENSMUSG00000049717
ENSG00000174804,ENSMUSG00000049791
ENSG00000139531,ENSMUSG00000049858
ENSG00000121634,ENSMUSG00000049908
ENSG00000167895,ENSMUSG00000050106
ENSG00000173040,ENSMUSG00000050248
ENSG00000054598,ENSMUSG00000050295
ENSG00000144452,ENSMUSG00000050296
ENSG00000185245,ENSMUSG00000050675
ENSG00000184292,ENSMUSG00000051397
ENSG00000171403,ENSMUSG00000051617
ENSG00000125741,ENSMUSG00000052214
ENSG00000121053,ENSMUSG00000052234
ENSG00000186832,ENSMUSG00000053797
ENSG00000087266,ENSMUSG00000054520
ENSG00000167165,ENSMUSG00000054545
ENSG00000130402,ENSMUSG00000054808
ENSG00000081051,ENSMUSG00000054932
ENSG00000112425,ENSMUSG00000055493
ENSG00000133710,ENSMUSG00000055561
ENSG00000112964,ENSMUSG00000055737
ENSG00000184156,ENSMUSG00000056258
ENSG00000158887,ENSMUSG00000056569
ENSG00000092200,ENSMUSG00000057132
ENSG00000117298,ENSMUSG00000057530
ENSG00000047579,ENSMUSG00000057531
ENSG00000143252,ENSMUSG00000058076
ENSG00000172893,ENSMUSG00000058454
ENSG00000126351,ENSMUSG00000058756
ENSG00000128617,ENSMUSG00000058831
ENSG00000152266,ENSMUSG00000059077
ENSG00000141469,ENSMUSG00000059336
ENSG00000165060,ENSMUSG00000059363
ENSG00000137731,ENSMUSG00000059412
ENSG00000138029,ENSMUSG00000059447
ENSG00000141510,ENSMUSG00000059552
ENSG00000160808,ENSMUSG00000059741
ENSG00000171560,ENSMUSG00000059807
ENSG00000102218,ENSMUSG00000060090
ENSG00000142046,ENSMUSG00000060376
ENSG00000080493,ENSMUSG00000060961
ENSG00000062038,ENSMUSG00000061048
ENSG00000095585,ENSMUSG00000061132
ENSG00000166349,ENSMUSG00000061311
ENSG00000122735,ENSMUSG00000061322
ENSG00000114739,ENSMUSG00000061393
ENSG00000130595,ENSMUSG00000061723
ENSG00000182197,ENSMUSG00000061731
ENSG00000118271,ENSMUSG00000061808
ENSG00000102144,ENSMUSG00000062070
ENSG00000112761,ENSMUSG00000062074
ENSG00000108557,ENSMUSG00000062115
ENSG00000115155,ENSMUSG00000062372
ENSG00000182533,ENSMUSG00000062694
ENSG00000143224,ENSMUSG00000062729
ENSG00000117054,ENSMUSG00000062908
ENSG00000054523,ENSMUSG00000063077
ENSG00000134333,ENSMUSG00000063229
ENSG00000147804,ENSMUSG00000063354
ENSG00000134376,ENSMUSG00000063681
ENSG00000116127,ENSMUSG00000063810
ENSG00000174483,ENSMUSG00000063904
ENSG00000124299,ENSMUSG00000063931
ENSG00000124615,ENSMUSG00000064120
ENSG00000105048,ENSMUSG00000064179
ENSG00000105755,ENSMUSG00000064254
ENSG00000144285,ENSMUSG00000064329
ENSG00000108231,ENSMUSG00000067242
ENSG00000172867,ENSMUSG00000067596
ENSG00000156925,ENSMUSG00000067860
ENSG00000180772,ENSMUSG00000068122
ENSG00000159251,ENSMUSG00000068614
ENSG00000164199,ENSMUSG00000069170
ENSG00000165140,ENSMUSG00000069805
ENSG00000133028,ENSMUSG00000069844
ENSG00000116748,ENSMUSG00000070385
ENSG00000143839,ENSMUSG00000070645
ENSG00000149489,ENSMUSG00000071648
ENSG00000109610,ENSMUSG00000072941
ENSG00000088035,ENSMUSG00000073792
ENSG00000137561,ENSMUSG00000073988
ENSG00000124198,ENSMUSG00000074582
ENSG00000181449,ENSMUSG00000074637
ENSG00000155980,ENSMUSG00000074657
ENSG00000178726,ENSMUSG00000074743
ENSG00000131482,ENSMUSG00000078650
ENSG00000126583,ENSMUSG00000078816
ENSG00000000419,ENSMUSG00000078919
ENSG00000171867,ENSMUSG00000079037
ENSG00000096696,ENSMUSG00000079040
ENSG00000147224,ENSMUSG00000079104
ENSG00000112936,ENSMUSG00000079105
ENSG00000092529,ENSMUSG00000079110
ENSG00000169031,ENSMUSG00000079465
